Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Shelly,Nash,Amy Pike 94527,Samuelville,85864,Danmark,DK,19880912-5862,+45,9417469501,1988-09-12,True
Karin,Eriksson,Industrivägen 638,Skellefteå,81610,Sverige,SE,19970124-4050,+46,0779-27 73 28,1997-01-24,True
Anna,Ødegård,Haugenroa 366,Kristensen,4106,Norge,NO,19811121-4481,+47,42806966,1981-11-21,True
Emily,Morris,Christopher Branch 2055,Thomasbury,19310,Danmark,DK,19690824-9762,+45,(228)318-6354,1969-08-24,True
Elise,Hansen,Ringvägen 82,Lidköping,99284,Sverige,SE,19490712-0830,+46,+46 (0)027 316 18,1949-07-12,True
Andreas,Thorsen,Madsenløkka 99A,Sigridnes,7458,Norge,NO,19741014-7961,+47,426 39 129,1974-10-14,True
Marte,Solberg,Aasenhavna 9,Cecilieberg,0758,Norge,NO,19550315-5017,+47,402 26 270,1955-03-15,True
Kent,Johansson,Nyvägen 216,Östersund,29220,Sverige,SE,19730424-6443,+46,0273-232 27,1973-04-24,True
Johan,Mathisen,Olsenspranget 921,Lien,0164,Norge,NO,19770420-2913,+47,45090447,1977-04-20,True
Jørgen,Solheim,Bergåsen 1,Gunnhamn,3117,Norge,NO,19630828-5491,+47,974 27 251,1963-08-28,True
Sara,Berg,Rasmussenhagen 2,Eliassen,6046,Norge,NO,19441211-2245,+47,45514361,1944-12-11,True
Eugen,Hasan,Furugatan 13,Skellefteå,80865,Sverige,SE,19500720-5675,+46,0974-86 44 06,1950-07-20,True
Marc,Hamilton,Stewart Ramp 46065,South Brandyport,03525,Danmark,DK,20001012-9844,+45,001-485-993-7130x40568,2000-10-12,True
Anton,Östlund,Industrivägen 5,Ängelholm,53233,Sverige,SE,19510821-8203,+46,+46 (0)433 597 93,1951-08-21,True
Helena,Olsson,Industrivägen 81,Södertälje,32540,Sverige,SE,19700506-2534,+46,0299-23 40 10,1970-05-06,True
Michelle,Allen,Kim Drive 01359,New Robintown,52364,Danmark,DK,19850923-2444,+45,448.553.0330,1985-09-23,True
Cathrine,Lund,Andreassenlunden 26,Olsen,6143,Norge,NO,19680223-2068,+47,92864220,1968-02-23,True
Alexis,Butler,Alexis Turnpike 921,Port Jasonmouth,67424,Danmark,DK,19681031-3003,+45,+1-639-607-9460,1968-10-31,True
Steven,Robinson,Love Club 332,Jonesfurt,33167,Danmark,DK,19950206-0530,+45,216-636-7571x424,1995-02-06,True
Alexander,Gustafsson,Industrigränd 87,Linköping,92875,Sverige,SE,19830602-2778,+46,08-34 01 56,1983-06-02,True
Maria,Valkama,Sadetie 476,Karvia,12093,Finland,FI,19840825-8252,+358,0904084610,1984-08-25,True
Helena,Westerberg,Skogsstigen 90,Sandviken,44377,Sverige,SE,19690506-7052,+46,+46 (0)62 18 49 90,1969-05-06,True
Jon,Mikkelsen,Eriksengropa 5,Monagrunn,3537,Norge,NO,19960117-6291,+47,42956763,1996-01-17,True
Martin,Eriksson,Backvägen 637,Karlstad,65837,Sverige,SE,19980410-3491,+46,08-565 67 07,1998-04-10,True
Signe,Hellberg,Parkvägen 2,Mölndal,78220,Sverige,SE,19801013-1708,+46,037-77 74 39,1980-10-13,True
Fredrik,Sæther,Strømhavna 8,Iversen,9917,Norge,NO,19650307-4663,+47,54 80 83 34,1965-03-07,True
Jeffrey,Taylor,Williams Ways 278,East Shannonburgh,03685,Danmark,DK,19521101-6004,+45,(310)740-6793,1952-11-01,True
Michael,Salinas,Robinson Island 5929,Durantown,37091,Danmark,DK,19551005-3049,+45,7557452618,1955-10-05,True
Sebastian,Green,Järnvägsvägen 15,Uppsala,69718,Sverige,SE,19590301-8579,+46,+46 (0)76 83 10 60,1959-03-01,True
Maria,Nordlund,Villagränd 0,Göteborg,79943,Sverige,SE,19430322-8731,+46,013-79 02 09,1943-03-22,True
Åke,Eriksson,Storgatan 8,Luleå,90004,Sverige,SE,19520213-7544,+46,+46 (0)30 45 29 89,1952-02-13,True
Bo,Edvardsson,Bäckvägen 51,Nyköping,61165,Sverige,SE,19870925-5430,+46,+46 (0)13 90 42 05,1987-09-25,True
Anna,Olsson,Björktorget 6,Borås,57456,Sverige,SE,19980423-6300,+46,+46 (0)8 038 016 77,1998-04-23,True
Maria,Nilsson,Storgatan 4,Norrköping,51148,Sverige,SE,19770126-2617,+46,0570-21 89 77,1977-01-26,True
Nils,Olsson,Backvägen 92,Karlskrona,81090,Sverige,SE,19540801-1103,+46,08-56 72 23,1954-08-01,True
Aino,Eloranta,Yrttimaantie 75,Nokia,04524,Finland,FI,19600118-276V,+358,+358 51 0144554,1960-01-18,True
Emma,Johansson,Trädgårdsgatan 45,Skellefteå,90230,Sverige,SE,19980320-5800,+46,+46 (0)8 749 953 47,1998-03-20,True
Kevin,Sjödin,Parkgatan 3,Landskrona,98033,Sverige,SE,19981221-3721,+46,08-37 74 07,1998-12-21,True
Irene,Berggren,Strandvägen 41,Sandviken,26709,Sverige,SE,19580512-2602,+46,0472-50 32 88,1958-05-12,True
Jessica,Campbell,Monica Ferry 5575,Harrisonborough,87104,Danmark,DK,19850713-3326,+45,376-311-1340,1985-07-13,True
Valdemar,Ahlgren,Ekgränd 1,Örnsköldsvik,52201,Sverige,SE,19780922-1475,+46,+46 (0)8 390 614 49,1978-09-22,True
Rodney,Hebert,Alyssa Village 829,West Lauraborough,76857,Danmark,DK,19461210-4523,+45,(412)311-2108x1870,1946-12-10,True
Doris,Backman,Järnvägsvägen 949,Trollhättan,90677,Sverige,SE,19790810-4150,+46,08-502 218 21,1979-08-10,True
Roger,Olsson,Furuvägen 01,Kalmar,35904,Sverige,SE,19641231-4059,+46,+46 (0)36 64 94 07,1964-12-31,True
Marianne,Ericsson,Ekvägen 426,Malmö,95238,Sverige,SE,20001214-7079,+46,048-798 18 76,2000-12-14,True
Teresia,Hjort,Backtorget 289,Lidköping,35017,Sverige,SE,19861026-6975,+46,006-19 87 83,1986-10-26,True
Gertrud,Palmqvist,Björkgränd 7,Uppsala,76112,Sverige,SE,19870915-8576,+46,0230-09 95 46,1987-09-15,True
Jeremy,Potter,Hall Drives 8896,Lake Brittany,91179,Danmark,DK,19910316-4383,+45,+1-564-224-7009x37097,1991-03-16,True
Helge,Berg,Tveiteggen 84C,Karlstrøm,3150,Norge,NO,19680726-6495,+47,968 81 887,1968-07-26,True
Ashley,Lynch,Hartman Fort 7326,Port Meganburgh,44185,Danmark,DK,19591110-8305,+45,+1-889-840-1539,1959-11-10,True
Gudrun,Larsson,Björktorget 55,Ängelholm,54050,Sverige,SE,19681227-8000,+46,081-40 57 68,1968-12-27,True
Heidi,Evensen,Andersenalléen 86A,Heidiodden,0621,Norge,NO,19820917-0225,+47,450 38 553,1982-09-17,True
Gabriel,Walsh,Lopez Plain 95713,Lake Brandonbury,99410,Danmark,DK,19840105-6221,+45,417.472.1522x50549,1984-01-05,True
Erik,Mohamud,Kyrkovägen 448,Helsingborg,60727,Sverige,SE,19510829-2328,+46,+46 (0)14 10 95 82,1951-08-29,True
Kristen,Cannon,White Dam 5150,Randallshire,37662,Danmark,DK,19490310-8669,+45,806-331-0169x709,1949-03-10,True
Knut,Antonsen,Bakkengjerdet 31,Andreasø,0898,Norge,NO,19430910-6352,+47,+4773938869,1943-09-10,True
Conny,Andersson,Skogsgatan 562,Karlstad,57298,Sverige,SE,19710418-8915,+46,0380-71 43 09,1971-04-18,True
Colleen,Reyes,Jason Rapids 9181,Melissaview,56850,Danmark,DK,19481225-4194,+45,001-860-503-1632,1948-12-25,True
Tuva,Karlsson,Skolgatan 858,Örebro,45487,Sverige,SE,19650306-5993,+46,08-744 741 68,1965-03-06,True
Olavi,Savolainen,Eduskuntakatu 5,Hämeenkyrö,30512,Finland,FI,19490928-623R,+358,+358 17 7089171,1949-09-28,True
Corey,Mack,Elizabeth Curve 00965,Stokesburgh,50442,Danmark,DK,19661227-7428,+45,(383)928-7809,1966-12-27,True
Keijo,Hakala,Oravatie 538,Joroinen,95324,Finland,FI,19761019-633W,+358,+358 47 1785933,1976-10-19,True
Jenna,Mills,Amy Knolls 9040,New Brooke,45926,Danmark,DK,19470815-8163,+45,(337)371-7184,1947-08-15,True
Elisabet,Bergström,Genvägen 492,Karlstad,50013,Sverige,SE,19780612-1969,+46,08-622 471 66,1978-06-12,True
Gottfrid,Eriksson,Strandtorget 2,Umeå,67891,Sverige,SE,19491109-4518,+46,08-068 81 84,1949-11-09,True
Ulla,Bergman,Kyrkogränd 98,Linköping,58993,Sverige,SE,19480405-6991,+46,+46 (0)25 23 83 71,1948-04-05,True
Hilma,Svensson,Aspvägen 916,Falun,83013,Sverige,SE,20000905-1363,+46,08-151 69 66,2000-09-05,True
David,Anderson,Alyssa Creek 4596,Lake Jamiefurt,31593,Danmark,DK,19450111-1778,+45,+1-658-998-4834x23700,1945-01-11,True
Amir,Sjöberg,Skolgränd 0,Trelleborg,75023,Sverige,SE,19411226-4320,+46,+46 (0)865 426 63,1941-12-26,True
Sebastian,Forslund,Idrottsgatan 91,Varberg,50323,Sverige,SE,19920905-6433,+46,+46 (0)54 27 10 23,1992-09-05,True
Helena,Aalto,Yhteiskoulunkuja 1,Pomarkku,56095,Finland,FI,19800510-263C,+358,+358 89 7576079,1980-05-10,True
Aulikki,Heikkinen,Veräjämäenkatu 222,Mustasaari,79405,Finland,FI,19821113-184K,+358,+358677750234,1982-11-13,True
Marcus,Olsson,Åkervägen 83,Uppsala,17870,Sverige,SE,19660501-4864,+46,08-81 40 59,1966-05-01,True
Johannes,Mohamed,Ängsgatan 51,Karlstad,18009,Sverige,SE,19840419-2641,46,099-849 58 18,1984-04-19,True
Inga,Ferm,Kvarnvägen 8,Växjö,30471,Sverige,SE,19990809-9326,+46,08-384 907 17,1999-08-09,True
Ingemar,Jansson,Parkstigen 01,Lidköping,67075,Sverige,SE,19551212-6832,+46,08-027 739 31,1955-12-12,True
Bengt,Granberg,Genvägen 865,Stockholm,80647,Sverige,SE,19980719-6908,+46,+46 (0)8 460 064 50,1998-07-19,True
Marte,Nilsen,Birkelandskogen 1,Tangen,1284,Norge,NO,19960617-8461,+47,+47 89 40 39 36,1996-06-17,True
May,Rønning,Gundersenspranget 926,Jonassand,9645,Norge,NO,20001206-8515,+47,41870096,2000-12-06,True
Egil,Iversen,Sætherhagen 65,Sverrevik,0063,Norge,NO,19450623-0177,+47,+4748192775,1945-06-23,True
Jamie,Johnson,Barbara Place 927,Whiteland,88974,Danmark,DK,19470608-0028,+45,(619)502-4332x5851,1947-06-08,True
Trond,Bakke,Sæthervika 373,Gunnarstad,9898,Norge,NO,19431005-7213,+47,+4778331724,1943-10-05,True
Mikael,Andersson,Björktorget 17,Trelleborg,56455,Sverige,SE,19880723-1819,+46,+46 (0)38 50 39 02,1988-07-23,True
Karoline,Birkeland,Strømrøa 6,Kjellhelle,8964,Norge,NO,19510501-7587,+47,51 97 03 72,1951-05-01,True
Jenny,Persson,Backgatan 3,Kristianstad,89526,Sverige,SE,19700310-1439,+46,002-412 08 89,1970-03-10,True
Petter,Myhre,Antonsenalléen 85,Leifsand,7221,Norge,NO,19570618-0059,+47,+4747466776,1957-06-18,True
Kelly,Woods,Christina Coves 757,Lake Cynthia,90993,Danmark,DK,19580929-1236,+45,001-270-644-9349x62935,1958-09-29,True
Roger,Andreassen,Knudsenvollen 5,Larsen,4520,Norge,NO,19960213-9695,+45,+4788433709,1996-02-13,True
Maria,Jönsson,Nytorget 43,Södertälje,99422,Sverige,SE,19551012-7418,+46,000-44 68 77,1955-10-12,True
Emanuel,Dahl,Aspgatan 45,Lund,16623,Sverige,SE,19680323-6712,+46,+46 (0)8 953 473 63,1968-03-23,False
Sara,Andersson,Furugatan 137,Örnsköldsvik,72161,Sverige,SE,19500903-6130,+46,+46 (0)8 959 282 32,1950-09-03,True
Eva,Jensen,Parkgatan 0,Landskrona,94995,Sverige,SE,19851019-9155,+46,+46 (0)66 86 62 30,1985-10-19,True
Kristine,Walters,Keller Roads 703,New Mark,52386,Danmark,DK,19621030-9192,+45,+1-879-474-2613,1962-10-30,True
Mohammed,Forsberg,Skolvägen 22,Skellefteå,21549,Sverige,SE,19691215-2974,+46,+46 (0)50 44 53 33,1969-12-15,True
Simon,Strömberg,Ringgränd 28,Alingsås,53120,Sverige,SE,19940413-1229,+46,08-245 768 53,1994-04-13,True
Michael,Reid,Maria Island 7078,North Brendaview,67977,Danmark,DK,19750830-8127,+45,6976893794,1975-08-30,True
Anita,Lindahl,Industrigatan 73,Trelleborg,90357,Sverige,SE,19940712-6372,+46,+46 (0)984 518 47,1994-07-12,True
Kjell,Malmström,Skolvägen 6,Lidingö,69354,Sverige,SE,19710925-4317,+46,08-075 33 09,1971-09-25,True
Annette,Olsson,Industrigatan 084,Skellefteå,75653,Sverige,SE,19511111-6298,+46,039-53 45 65,1951-11-11,True
Anders,Gustafsson,Backgränd 9,Nyköping,25220,Sverige,SE,19841127-4869,+46,08-69 91 74,1984-11-27,True
Irene,Andreassen,Sivertsenhavna 2,Arnesen,3205,Norge,NO,19700329-6088,+47,450 31 784,1970-03-29,True
Mary,Watts,Michael Canyon 082,East Anthonyberg,04273,Danmark,DK,19570831-0574,+45,421-244-5336,1957-08-31,True
Niclas,Pettersson,Industrivägen 1,Linköping,78505,Sverige,SE,20000701-9710,+46,0120-82 05 46,2000-07-01,True
Rachael,Gay,Nicole Manor 499,Lake Jenniferside,77637,Danmark,DK,19640206-9628,+45,947-372-0640x31326,1964-02-06,True
Karl,Kristoffersen,Sørensenlia 82,Evensen,0089,Norge,NO,19480302-3882,+47,96 75 84 32,1948-03-02,True
Sara,Henningsson,Parkgatan 589,Uppsala,90203,Sverige,SE,19610113-3676,+46,0558-59 31 82,1961-01-13,True
Maria,Alfredsson,Ekgränd 298,Karlskoga,55114,Sverige,SE,19460426-9302,+46,0550-558 50,1946-04-26,True
Ole,Lunde,Andersenmoen 77,Berntsen,9764,Norge,NO,19770906-2808,+47,98139652,1977-09-06,True
Sture,Karlsson,Grangatan 4,Västerås,54381,Finland,SE,19700516-4183,+46,056-43 94 43,1970-05-16,True
Robert,Bell,Chavez Prairie 1882,Matthewburgh,14867,Danmark,DK,19400303-5982,+45,+1-707-917-5204x5190,1940-03-03,True
Marcus,Olsson,Furugatan 8,Falun,72999,Sverige,SE,19640909-9121,+46,0168-883 66,1964-09-09,True
Christina,Hall,Miguel Pass 0416,South Samantha,10089,Danmark,DK,19610809-1593,+45,921.727.7225x880,1961-08-09,True
Alexander,Aas,Pettersenholtet 49A,Mathiasfjell,7389,Norge,NO,19410911-0209,+47,99518120,1941-09-11,True
Jakob,Josefsson,Trädgårdsvägen 371,Östersund,97488,Sverige,SE,19600508-7699,+46,08-628 09 07,1960-05-08,True
Stian,Holm,Hansenmyra 3,Tommyvik,7010,Norge,NO,19960517-5848,+47,49813549,1996-05-17,True
Carl,Lidström,Björkgränd 2,Lidingö,68933,Sverige,SE,19440623-2723,+46,093-697 74 07,1944-06-23,True
Roger,Aune,Bergtjernet 4,Lie,0880,Norge,NO,19880821-1287,+47,91 43 95 74,1988-08-21,True
Carl,Petersson,Parkgränd 941,Västerås,70538,Sverige,SE,19550919-3414,+46,074-25 12 68,1955-09-19,True
Elisabeth,Heinonen,Salakkabulevardi 22,Ilmajoki,12246,Finland,FI,19681123-4483,+358,081 383 5969,1968-11-23,True
Kristina,Östberg,Gengränd 79,Örebro,45063,Sverige,SE,19520922-8911,+46,08-869 516 97,1952-09-22,True
Wenche,Kristiansen,Thorsenhavna 38,Gundersen,8852,Norge,NO,20000209-8611,+47,95 53 62 38,2000-02-09,True
Anne,Ødegård,Hanssenjordet 424,Olsen,8250,Norge,NO,19430823-6646,+47,988 19 015,1943-08-23,True
Karin,Engman,Kvarntorget 1,Lidingö,52724,Sverige,SE,19750401-6315,+46,060-980 59 17,1975-04-01,True
Debra,Gonzalez,Benjamin Union 4745,West Deborah,44590,Danmark,DK,19661225-7546,+45,905.302.3872,1966-12-25,True
Vidar,Martinsen,Bergehøgda 6,Jacobsen,7704,Norge,NO,19921031-7554,+47,+47 92 06 32 74,1992-10-31,True
Olof,Mårtensson,Trädgårdsvägen 425,Falun,86404,Sverige,SE,19681029-3377,+46,+46 (0)8 703 075 20,1968-10-29,True
Mary,Lawson,Samuel Mall 05934,Richardmouth,96903,Danmark,DK,19990404-8726,+45,001-289-290-3366x29250,1999-04-04,False
Sindre,Kristiansen,Lundeholtet 76D,Kristensen,0238,Norge,NO,19980808-2054,+47,478 16 171,1998-08-08,True
Grethe,Abrahamsen,Nielsentjernet 6C,Andreafjord,1616,Norge,NO,19761224-5929,+47,17 42 63 54,1976-12-24,True
Maria,Kangas,Gunnel Nymanin bulevardi 32,Tuusula,43638,Finland,FI,19930501-3742,+358,+358 036942623,1993-05-01,True
Amanda,Bergström,Gengatan 758,Halmstad,15052,Sverige,SE,19511009-5249,+46,075-491 56 62,1951-10-09,True
Chad,Gutierrez,Wright Rue 13295,Timothyport,62838,Danmark,DK,19600101-3871,+45,2992802018,1960-01-01,True
Kristian,Andersen,Gundersenstranda 4,Helgehavn,2148,Norge,NO,19860626-9121,+47,00 78 11 13,1986-06-26,True
Karen,Næss,Amundsenalléen 43C,Runeås,2738,Norge,NO,19550430-3337,+47,414 47 077,1955-04-30,True
Lars,Lundberg,Kyrkgatan 307,Skellefteå,44714,Sverige,SE,19950628-4396,+46,08-556 72 06,1995-06-28,True
Jonathan,Karlsson,Ekvägen 845,Nyköping,47360,Sverige,SE,19570821-0524,+46,+46 (0)388 114 17,1957-08-21,True
Johanna,Riihimäki,Rantavarastonkuja 19,Sotkamo,11978,Finland,FI,19640204-831B,+358,075 794 1830,1964-02-04,True
Michaela,Frisk,Kyrkovägen 6,Mölndal,46042,Sverige,SE,19570525-6856,+46,+46 (0)8 522 006 72,1957-05-25,True
Kenneth,Larsson,Parkgatan 491,Skellefteå,40148,Sverige,SE,19691201-3503,+46,08-54 84 33,1969-12-01,True
Hanna,Ollikainen,Ylä-Fallin tie 3,Tohmajärvi,87877,Finland,FI,19580218-013H,+358,+358 02 2896617,1958-02-18,True
Anita,Asplund,Kvarnvägen 07,Sundsvall,44082,Sverige,SE,19430526-6570,+46,08-498 40 37,1943-05-26,True
Tomi,Korpi,Jänkäkatu 481,Kärsämäki,14744,Finland,FI,19561013-2611,+358,066 374 8877,1956-10-13,True
Øyvind,Henriksen,Jørgensenåsen 1,Sørensen,2858,Norge,NO,19700612-2333,+47,48072506,1970-06-12,True
Sanna,Rosenberg,Genstigen 8,Borlänge,23184,Sverige,SE,19940829-5316,+46,049-102 48 97,1994-08-29,True
Ida,Olofsson,Aspgatan 98,Uddevalla,28294,Sverige,SE,19670708-4863,+46,+46 (0)8 066 417 12,1967-07-08,True
Khaled,Håkansson,Aspvägen 823,Eskilstuna,61772,Sverige,SE,19721120-6172,+46,08-107 100 20,1972-11-20,True
Rune,Nielsen,Furutorget 39,Karlskoga,48695,Sverige,SE,19810425-7381,+46,0838-53 67 02,1981-04-25,False
Mary,Gallagher,Vincent Freeway 358,North Johnathan,35371,Danmark,DK,19680831-8131,+45,001-367-615-1755x751,1968-08-31,True
Michael,Evans,Jennifer Parkway 746,Aaronport,73261,Danmark,DK,19920413-8885,+45,(638)836-0566x5749,1992-04-13,True
Sture,Holmqvist,Villavägen 739,Lidköping,64633,Sverige,SE,19980319-0155,+46,+46 (0)8 000 916 70,1998-03-19,True
Siri,Lind,Storgränd 90,Sundsvall,35548,Sverige,SE,19730114-2715,+46,+46 (0)65 53 43 98,1973-01-14,True
Camilla,Larsson,Storgatan 528,Varberg,10821,Sverige,SE,19931103-5913,+46,+46 (0)482 754 25,1993-11-03,True
Luke,Molina,Lisa Skyway 773,Warnerstad,56294,Danmark,DK,19530711-0172,+45,945.570.4696,1953-07-11,True
Alf,Lien,Jacobsenmarka 3A,Ahmed,1503,Norge,NO,19500921-0860,+47,942 96 091,1950-09-21,True
Filip,Westberg,Nystigen 9,Uppsala,76844,Sverige,SE,19441018-4426,+46,0309-728 80,1944-10-18,True
Tiffany,Chang,Gutierrez Lights 76304,Steinchester,75147,Danmark,DK,19710730-7689,+45,(796)387-9368x67944,1971-07-30,True
Kristine,Moe,Martinsenvika 1A,Magneås,2338,Norge,NO,20000211-1628,+47,44519872,2000-02-11,True
Torbjörn,Holmgren,Villastigen 1,Karlskrona,70512,Sverige,SE,19551028-9006,+46,0943-11 05 42,1955-10-28,True
Jan,Åström,Trädgårdsvägen 3,Uppsala,14644,Sverige,SE,19710713-0652,+46,08-882 774 04,1971-07-13,True
Max,Dahl,Fabriksgatan 288,Uppsala,71207,Sverige,SE,19520812-4930,+46,08-422 65 92,1952-08-12,True
Kåre,Bakke,Aunegropa 94,Haraldstad,3287,Norge,NO,19540503-7367,+47,12419323,1954-05-03,True
Fredrik,Isaksen,Kristiansenmoen 948,Sarastrøm,3070,Norge,NO,19990414-4352,+47,36 38 85 16,1999-04-14,True
Kari,Johansen,Fredriksenstubben 3,Halvorsen,8435,Norge,NO,19800804-9441,+47,+47 51 55 39 29,1980-08-04,True
Viktor,Karlström,Backtorget 21,Mölndal,21076,Sverige,SE,19790316-5474,+46,08-586 88 11,1979-03-16,True
Johannes,Niemi,Urputie 40,Rauma,38856,Finland,FI,19530403-340L,+358,0126862258,1953-04-03,True
Tuuli,Koskela,Kukkaniitynkuja 1,Honkajoki,77665,Finland,FI,19861015-340L,+358,(+358) 455030356,1986-10-15,True
Randi,Edvardsen,Gundersenberget 727,Bentefjell,5198,Norge,NO,19420828-4028,+47,+4792251363,1942-08-28,True
Gunnar,Mikkelsen,Karlsenflata 9,Unnibø,5714,Norge,NO,19490410-7400,+47,97957798,1949-04-10,True
